25时miku,25-ji miku
千斗五十铃（甘城辉煌乐园救世主）,sento isuzu
尾立（宝可梦）,sentret
萨菲罗斯（最终幻想VII）,sephiroth
星娜（英雄联盟）,seraphine (league of legends)
小遥（宝可梦）,serena (pokemon)
*塞蕾娜（游戏王！）,serena (yu-gi-oh!)
赛莉耶（葬送的芙莉莲）,serie (sousou no frieren)
芹香（蓝色档案）,serika (blue archive)
芹香（泳装）（蓝色档案）,serika (swimsuit) (blue archive)
塞莉娜（蓝色档案）,serina (blue archive)
芹泽朝日（偶像大师）,serizawa asahi
芹泽千佳瑠（突击莉莉）,serizawa chikaru
薮猫（兽娘动物园）,serval (kemono friends)
***仆人（弹丸论破）,servant (danganronpa)
杀生丸（犬夜叉）,sesshoumaru
杀生院祈荒（莉莉）（Fate/Grand Order）,sessyoin kiara (lily)
杀生院祈荒（泳装月癌第二阶段）（Fate/Grand Order）,sessyoin kiara (swimsuit mooncancer) (second ascension)
濑田薰（偶像大师）,seta kaoru
**瑟提（英雄联盟）,sett (league of legends)
塞蕾娅（火焰纹章）,severa (fire emblem)
**塞伦·温莎（仙境传说）,seyren windsor
*SF-A2 ミキ（Vocaloid）,sf-a2 miki
*影子追逐者（仙境传说）,shadow chaser (ragnarok online)
夏特（索尼克系列）,shadow the hedgehog
夏提雅·布拉德弗伦（OVERLORD）,shalltear bloodfallen
***夏隆（未知出处）,shalon
沙玛尔（魔法少女奈叶）,shamal
夏梅尔（明日方舟）,shamare (arknights)
射命丸文（东方Project）,shameimaru aya
射命丸文（报童）（东方Project）,shameimaru aya (newsboy)
珊璞（乱马1/2）,shampoo (ranma 1/2)
夏娜（灼眼的夏娜）,shana
上海人偶（东方Project）,shanghai doll
香缇（香缇）,shantae
夏莉娜（火焰纹章）,sharena (fire emblem)
鲨布（绝区零）,sharkboo (zenless zone zero)
莎娜（宝可梦）,shauna (pokemon)
肖（明日方舟）,shaw (arknights)
谢米（宝可梦）,shaymin
谢米（陆之形态）（宝可梦）,shaymin (land)
谢菲尔德（碧蓝航线）,sheffield (azur lane)
谢菲尔德（舰队Collection）,sheffield (kancolle)
申鹤（霜花露）（原神）,shenhe (frostflower dew) (genshin impact)
申鹤（原神）,shenhe (genshin impact)
夏洛克·雪琳福德（侦探歌剧 少女福尔摩斯）,sherlock shellingford
雪露（超时空要塞Frontier）,sheryl nome
司波深雪（魔法科高校的劣等生）,shiba miyuki
涩谷花音（Love Live! Superstar!!）,shibuya kanon
涩谷凛（偶像大师 灰姑娘女孩）,shibuya rin
枝垂萤（粗点心战争）,shidare hotaru
紫藤光（魔法骑士）,shidou hikaru
紫东遥（恶魔高校D×D）,shidou irina
时雨（碧蓝航线）,shigure (azur lane)
时雨（蔚蓝档案）,shigure (blue archive)
时雨（温泉）（蔚蓝档案）,shigure (hot spring) (blue archive)
时雨（舰队Collection）,shigure (kancolle)
时雨麻（Shuffle!）,shigure asa
时雨改二（舰队Collection）,shigure kai ni (kancolle)
时雨改三（舰队Collection）,shigure kai san (kancolle)
时雨改三（泳装）（舰队Collection）,shigure kai san (swimsuit) (kancolle)
时雨羽衣（VTuber）,shigure ui (vtuber)
时雨羽衣（初代服装）（VTuber）,shigure ui (vtuber) (1st costume)
时雨羽衣（幼年版）（VTuber）,shigure ui (vtuber) (young)
四枫院夜一（死神）,shihouin yoruichi
椎名真昼（邻座天使大人让我好困扰）,shiina mahiru (otonari no tenshi-sama)
椎名真白（樱花庄的宠物女孩）,shiina mashiro
椎名真由理（命运石之门）,shiina mayuri
椎名法子（偶像大师 灰姑娘女孩）,shiina noriko
椎名立希（BanG Dream!）,shiina taki
椎名唯华（虹咲学园偶像同好会）,shiina yuika
椎名唯华（第一套服装）（虹咲学园偶像同好会）,shiina yuika (1st costume)
四条贵音（偶像大师）,shijou takane
鹿野院平藏（原神）,shikanoin heizou
***鹿子乃诺子（鹿乃子乃子鹿乃鹿）,shikanoko noko
四季映姬（东方Project）,shiki eiki
四季夏目（星光咖啡馆与死神之蝶）,shiki natsume
敷波（舰队Collection）,shikinami (kancolle)
敷波改二（舰队Collection）,shikinami kai ni (kancolle)
志摩凛（摇曳露营△）,shima rin
岛原艾蕾娜（偶像大师 百万现场）,shimabara elena
岛田爱里寿（少女与战车）,shimada arisu
岛田千代（少女与战车）,shimada chiyo
岛风（碧蓝航线）,shimakaze (azur lane)
岛风（舰队Collection）,shimakaze (kancolle)
**岛风君（舰队Collection相关拟人化）,shimakaze-kun
岛村抱月（安达与岛村）,shimamura hougetsu
岛村卯月（偶像大师 灰姑娘女孩）,shimamura uzuki
***岛津由乃（圣母在上）,shimazu yoshino
***志村新八（银魂）,shimura shinpachi
霜雾（舰队Collection）,shimushu (kancolle)
神鹰（舰队Collection）,shin'you (kancolle)
信浓（碧蓝航线）,shinano (azur lane)
***信浓永司（细胞神曲）,shinano eiji
神宫寺樱（樱花大战）,shinguuji sakura
死神（超侦探事件簿 雨代码）,shinigami (rain code)
闪耀（明日方舟）,shining (arknights)
新条茜（SSSS.GRIDMAN）,shinjou akane
神绮（东方Project）,shinki (touhou)
真红（蔷薇少女）,shinku
***四宫冬实（雀魂）,shinomiya fuyumi
四宫向日葵（绯色战姬）,shinomiya himawari
四宫辉夜（辉夜大小姐想让我告白）,shinomiya kaguya
紫宫瑠奈（紫宮るな）（Vtuber）,shinomiya runa
东云彰人（Project SEKAI）,shinonome akito
东云绘名（Project SEKAI）,shinonome ena
筱之之箒（IS Infinite Stratos）,shinonono houki
筱泽广（偶像大师）,shinosawa hiro
信州丸（舰队收藏）,shinshuu maru (kancolle)
潮留美海（来自风平浪静的明天）,shiodome miuna
盐子（胸前那个）（shiokko）（Hololive）,shiokko (murasaki shion)
汐见琴音（女神异闻录3）,shiomi kotone
盐见周子（偶像大师 灰姑娘女孩）,shiomi syuko
诗织（公主连结！Re:Dive）,shiori (princess connect!)
诗织·诺贝拉（Hololive）,shiori novella
诗织·诺贝拉（初代服装）（Hololive）,shiori novella (1st costume)
**潮田渚（暗杀教室）,shiota nagisa
白井黑子（魔法禁书目录）,shirai kuroko
白井梦结（突击莉莉）,shirai yuyu
白石杏（Project SEKAI）,shiraishi an
白石袖（偶像大师 百万现场）,shiraishi tsumugi
***白石由竹（黄金神威）,shiraishi yoshitake
白上吹雪（Hololive）,shirakami fubuki
白上吹雪（初代服装）（Hololive）,shirakami fubuki (1st costume)
白上吹雪（贵族系）（Hololive）,shirakami fubuki (aristocrat kei)
白上吹雪（吹雪科技）（Hololive）,shirakami fubuki (fubukitek)
白上吹雪（居家服）（Hololive）,shirakami fubuki (loungewear)
白上吹雪（街头风）（Hololive）,shirakami fubuki (street)
不知火（舰队收藏）,shiranui (kancolle)
不知火芙蕾雅（Hololive）,shiranui flare
不知火芙蕾雅（初代服装）（Hololive）,shiranui flare (1st costume)
不知火芙蕾雅（旧设计）（Hololive）,shiranui flare (old design)
不知火芙蕾雅（街头风）（Hololive）,shiranui flare (street)
不知火舞（拳皇）,shiranui mai
白鹭千圣（BanG Dream!）,shirasagi chisato
白坂小梅（偶像大师 灰姑娘女孩）,shirasaka koume
白濑咲耶（偶像大师 闪耀色彩）,shirase sakuya
**白鸟蓝良（Ensemble Stars!）,shiratori aira (ensemble stars!)
白露（舰队收藏）,shiratsuyu (kancolle)
白露改二（舰队收藏）,shiratsuyu kai ni (kancolle)
白雪（舰队收藏）,shirayuki (kancolle)
***白雪姬（未知）,shirayuki hime
白雪霙（十字架与吸血鬼）,shirayuki mizore
白雪恋（The Guy Who Tried to Pick Up a Girl With a Girlfriend）,shirayuki ren
白雪巴（VTuber）,shirayuki tomoe
夏莉·菲内特（反叛的鲁路修）,shirley fenette
白（No Game No Life）,shiro (no game no life)
白钟直斗（女神异闻录4）,shirogane naoto
白银诺艾尔（Hololive）,shirogane noel
白银诺艾尔（第一套服装）（Hololive）,shirogane noel (1st costume)
白银诺艾尔（便装）（Hololive）,shirogane noel (casual)
白银诺艾尔（2020夏装）（Hololive）,shirogane noel (summer 2020)
白银纺希（弹丸论破3）,shirogane tsumugi
白金燐子（BanG Dream!）,shirokane rinko
白子（蔚蓝档案）,shiroko (blue archive)
白子（骑行服）（蔚蓝档案）,shiroko (cycling) (blue archive)
白子（泳装）（蔚蓝档案）,shiroko (swimsuit) (blue archive)
白子·恐惧（蔚蓝档案）,shiroko terror (blue archive)
狮子王克莉丝（Princess Connect! Re:Dive）,shishio chris
狮子王克莉丝（第一套服装）（Princess Connect! Re:Dive）,shishio chris (1st costume)
狮白牡丹（Hololive）,shishiro botan
狮白牡丹（第一套服装）（Hololive）,shishiro botan (1st costume)
狮白牡丹（衬衫装）（Hololive）,shishiro botan (button-down)
狮白牡丹（便装）（Hololive）,shishiro botan (casual)
黑巫鸟（东方Project）,shitodo kuroji
希弗（斯普拉遁）,shiver (splatoon)
静香凛（第一套服装）（偶像大师 闪耀色彩）,shizuka rin (1st costume)
静子（蔚蓝档案）,shizuko (blue archive)
静子（泳装）（蔚蓝档案）,shizuko (swimsuit) (blue archive)
紫水滴（猎人×猎人）,shizuku murasaki
静奈·蕾姆·美鹤（英雄传说）,shizuna rem misurugi
鞋嘴鹳（兽娘动物园）,shoebill (kemono friends)
食蜂操祈（魔法禁书目录）,shokuhou misaki
祥凤（舰队Collection）,shouhou (kancolle)
翔鹤（碧蓝航线）,shoukaku (azur lane)
翔鹤（舰队Collection）,shoukaku (kancolle)
舒（明日方舟）,shu (arknights)
修·夜美乃（VTuber）,shu yamino
修尔克（异度神剑）,shulk (xenoblade)
瞬（碧蓝档案）,shun (blue archive)
小瞬（碧蓝档案）,shun (small) (blue archive)
修罗（碧蓝档案）,shuro (blue archive)
酒吞童子（Fate）,shuten douji (fate)
酒吞童子（第一阶段）（Fate）,shuten douji (first ascension) (fate)
酒吞童子（万圣节Caster）（Fate）,shuten douji (halloween caster) (fate)
夏莉莉（VTuber）,shylily
西伯利亚花栗鼠（兽娘动物园）,siberian chipmunk (kemono friends)
侧卫卡（明日方舟）,sideroca (arknights)
齐格（Fate）,sieg (fate)
狮子王（明日方舟）,siege (arknights)
希格雯（原神）,sigewinne (genshin impact)
La Signora（原神）,signora (genshin impact)
西格娜姆（魔法少女奈叶）,signum
赫默（明日方舟）,silence (arknights)
沉默铃鹿（赛马娘）,silence suzuka (umamusume)
硅石（刀剑神域）,silica
硅石（刀剑神域-妖精之舞）,silica (sao-alo)
席尔瓦（碧蓝幻想）,silva (granblue fantasy)
*银（宝可梦）,silver (pokemon)
银狐（兽娘动物园）,silver fox (kemono friends)
银狼（崩坏：星穹铁道）,silver wolf (honkai  star rail)
银谷（Silvervale）（Vtuber）,silvervale
西蒙（天元突破红莲螺岩）,simon (ttgl)
辛克莱尔（Project Moon）,sinclair (project moon)
朝田诗乃（刀剑神域）,sinon
朝田诗乃（刀剑神域-妖精之舞）,sinon (sao-alo)
紫音·艾尔特纳姆（Type-Moon）,sion eltnam (type-moon)
紫音·艾尔特纳姆·阿特拉西亚（Type-Moon）,sion eltnam atlasia
希琳（崩坏3）,sirin
天狼星（碧蓝航线）,sirius (azur lane)
天狼星（湛蓝地平线）（碧蓝航线）,sirius (azure horizons) (azur lane)
天狼星（炽热天狼星）（碧蓝航线）,sirius (scorching-hot seirios) (azur lane)
天狼星象征（赛马娘）Sirius Symboli ,sirius symboli (umamusume)
克莱尔修女（VTuber）,sister claire
师匠（Fate）,sitonai (fate)
斯卡蒂（明日方舟）,skadi (arknights)
斯卡蒂（精英二）（明日方舟）,skadi (elite ii) (arknights)
斯卡蒂（弄潮者）（明日方舟）,skadi (waverider) (arknights)
堕心斯卡蒂（明日方舟）,skadi the corrupting heart (arknights)
堕心斯卡蒂（升华）（明日方舟）,skadi the corrupting heart (sublimation) (arknights)
**天空骑士（虎与兔）,sky high (tiger & bunny)
闪空战士 - 蕾（游戏王）,sky striker ace - raye
天火（明日方舟）,skyfire (arknights)
风露（宝可梦）,skyla (pokemon)
斯雷因·特洛亚德（ALDNOAH.ZERO）,slaine troyard
史莱姆（勇者斗恶龙）,slime (dragon quest)
*史莱姆（原神）,slime (genshin impact)
小爪水獭（兽娘动物园）,small-clawed otter (kemono friends)
聪明猎鹰（赛马娘）,smart falcon (umamusume)
藤藤蛇（宝可梦）,snivy
白雪（NIKKE：胜利女神）,snow white (nikke)
眼泪蜥（宝可梦）Sobble,sobble
索西耶特（碧蓝幻想）,societte (granblue fantasy)
苏打（NIKKE：胜利女神）,soda (nikke)
苏我屠自古（东方Project）,soga no tojiko
索尔·巴德盖（罪恶装备）,sol badguy
士兵76（守望先锋）,soldier  76 (overwatch)
索玛·佩利斯（机动战士高达00）,soma peries
*某物（OMORI）,something (omori)
索米（火焰纹章）,sommie (fire emblem)
孙悟饭（龙珠）,son gohan
孙悟空（龙珠）,son goku
娑娜（英雄联盟）,sona (league of legends)
索妮娅（宝可梦）,sonia (pokemon)
索妮娅·内瓦曼德（弹丸论破）,sonia nevermind
索尼克（索尼克系列）,sonic the hedgehog
园田智代子（偶像大师）,sonoda chiyoko
园田海未（Love Live!）,sonoda umi
园崎魅音（寒蝉鸣泣之时）,sonozaki mion
园崎诗音（寒蝉鸣泣之时）,sonozaki shion
孙策伯符（一骑当千）,sonsaku hakufu
索尼娅（爱杀宝贝）,sonya (kill me baby)
索菲娅（火焰纹章）,sophia (fire emblem)
***苏菲（哈尔的移动城堡）,sophie (howl no ugoku shiro)
苏菲（传说系列）,sophie (tales)
苏菲·诺伊恩穆勒（炼金工房）,sophie neuenmuller
索菲提娅·亚历山大（灵魂能力）,sophitia alexandra
索拉（明日方舟）,sora (arknights)
空（蔚蓝档案）,sora (blue archive)
索拉（王国之心）,sora (kingdom hearts)
空银子（龙王的工作！）,sora ginko
晴渡空（苍蓝雷霆）,sora harewataru
索拉卡（英雄联盟）,soraka (league of legends)
空门苍（Summer Pockets）,sorakado ao
*魔法师（仙境传说）,sorcerer (ragnarok online)
女巫（龙之王冠）,sorceress (dragon's crown)
索伦（火焰纹章）,soren (fire emblem)
***索斯比（未明确出处）,sotheby
索蒂丝（火焰纹章：风花雪月）,sothis (fire emblem)
***苍角（绝区零）,soukaku (zenless zone zero)
苍龙（舰队Collection）,souryuu (kancolle)
惣流·明日香·兰格雷（新世纪福音战士）,souryuu asuka langley
苍星石（蔷薇少女）,souseiseki
南达科他（碧蓝航线）,south dakota (azur lane)
南达科他（舰队Collection）,south dakota (kancolle)
**南意大利（黑塔利亚）,southern italy (hetalia)
南方小食蚁兽（兽娘动物园）,southern tamandua (kemono friends)
*宗谷一花（VTuber）,souya ichika
***宗三佐文字（刀剑乱舞）,souza samonji
宇宙艾蕾什基伽勒（Fate）,space ereshkigal (fate)
宇宙艾蕾什基伽勒（第一阶段）（Fate）,space ereshkigal (first ascension) (fate)
宇宙伊什塔尔（Fate）,space ishtar (fate)
斯帕克尔（崩坏：星穹铁道）,sparkle (honkai  star rail)
SPAS-12（少女前线）,spas-12 (girls' frontline)
特别周（赛马娘）,special week (umamusume)
幽灵（明日方舟）,specter (arknights)
解放者幽灵（明日方舟）,specter the unchained (arknights)
蜘蛛格温（漫威漫画）,spider-gwen
蜘蛛侠（漫威漫画）,spider-man
**斑点（明日方舟）,spot (arknights)
新叶喵（宝可梦）,sprigatito
春田（少女前线）,springfield (girls' frontline)
斯考尔·莱因哈特（最终幻想VIII）,squall leonhart
松鼠女（漫威漫画）,squirrel girl (marvel)
杰尼龟（宝可梦）,squirtle
**SSRB（白上吹雪） (Shishiro Botan)（Vtuber）,ssrb (shishiro botan)
ST AR-15（少女前线）,st ar-15 (girls' frontline)
圣路易斯（碧蓝航线）,st. louis (azur lane)
圣路易斯（豪华车轮）（碧蓝航线）,st. louis (luxurious wheels) (azur lane)
星蓝宝石（东方Project）,star sapphire
史塔克（葬送的芙莉莲）,stark (sousou no frieren)
红蜘蛛（变形金刚）,starscream
斯特拉·尤妮贝尔（灵魂行者）,stella unibell
星（崩坏：星穹铁道）,stelle (honkai  star rail)
史蒂夫·罗杰斯（美国队长）,steve rogers
大吾（宝可梦）,steven stone
斯忒诺（Fate）,stheno (fate)
依然恋爱（赛马娘）,still in love (umamusume)
Stocking（吊带袜天使）,stocking (psg)
鹤望兰（Darling in the Franxx）,strelizia
力量（黑岩射手）,strength (black rock shooter)
修特姆（碧蓝幻想）,sturm (granblue fantasy)
*苏珊（未知出处）,su-san
斯巴鲁鸭（VTuber）,subaru duck
昴·中岛（魔法少女奈叶StrikerS）,subaru nakajima
砂糖（原神）,sucrose (genshin impact)
苏西·曼巴瓦兰（小魔女学园）,sucy manbavaran
杉本佐一（黄金神威）,sugimoto saichi
杉浦绫乃（摇曳百合）,sugiura ayano
碎蜂（死神）,sui-feng
水君（宝可梦）,suicune
水银灯（蔷薇少女）,suigintou
翠星石（蔷薇少女）,suiseiseki
女霸SMG（蔚蓝档案）,sukeban (smg) (blue archive)
寿司布（白上吹雪）,sukonbu (shirakami fubuki)
健屋花那（VTuber）,sukoya kana
健屋花那（初始服装）（VTuber）,sukoya kana (1st costume)
宿儺神明丸（东方Project）,sukuna shinmyoumaru
斯莱塔·墨丘利（机动战士高达：水星的魔女）,suletta mercury
皇蓝华（AIKa）,sumeragi aika
皇李·诺利伽（机动战士高达00）,sumeragi lee noriega
***孙悟空,sun wukong
砂冢晶（偶像大师 闪耀色彩）,sunazuka akira
**星期日（崩坏：星穹铁道）,sunday (honkai  star rail)
**成振宇（我独自升级）,sung jin-woo
**桑尼（Omori）,sunny (omori)
桑尼·米尔克（东方Project）,sunny milk
周央サンゴ（VTuber）,suo sango
苏米（少女前线）,suomi (girls' frontline)
周防美琴（校园迷糊大王）,suou mikoto (school rumble)
周防桃子（偶像大师）,suou momoko
周防帕特拉（Vtuber）,suou patra
苏芳帕夫利琴科（Darker than Black）,suou pavlichenko
**周防达哉（女神转生）,suou tatsuya
*周防有希（不时用俄语小声说真心话的邻桌艾莉同学）,suou yuki
超级小溪（赛马娘）,super creek (umamusume)
超级波恰子（超级索尼子系列）,super pochaco
*超级水兵小月（美少女战士）,super sailor chibi moon
超级水兵月（美少女战士）,super sailor moon
超级萨斯（少女前线）,super sass (girls' frontline)
超级索尼子（超级索尼子）,super sonico
极乐鸟（兽娘动物园）,superb bird-of-paradise (kemono friends)
女超人（DC漫画）,supergirl
**超人（DC漫画）,superman
补给站公主（舰队Collection）,supply depot princess
*苏拉（仙境传说）,sura (ragnarok online)
海薇玛夫人（原神）,surintendante chevalmarin
苏尔特（明日方舟）,surtr (arknights)
苏尔特（缤纷奇境）（明日方舟）,surtr (colorful wonderland) (arknights)
苏尔特（自由终局）（明日方舟）,surtr (liberte echec) (arknights)
苏尔特的魔像（明日方舟）,surtr's golem (arknights)
素裳（崩坏：星穹铁道）,sushang (honkai  star rail)
絮语（明日方舟）,sussurro (arknights)
絮语（夏花）（明日方舟）,sussurro (summer flower) (arknights)
苏（魔物娘）,suu (monster musume)
*苏西·Q（JOJO的奇妙冒险）,suzi q
铃（Cookie）,suzu (cookie)
铃原露露（VTuber）,suzuhara lulu
铃原露露（第一套服装）（VTuber）,suzuhara lulu (1st costume)
铃鹿御前（Fate）,suzuka gozen (fate)
凉风（舰队Collection）,suzukaze (kancolle)
凉风青叶（New Game！）,suzukaze aoba
铃木羽那（偶像大师）,suzuki hana
凉宫春日（凉宫春日的忧郁）,suzumiya haruhi
凉宫春彦（性转版凉宫春日）,suzumiya haruhiko
凉村珊瑚（光之美少女）,suzumura sango
铃鸣雫（鈴鳴しずく）（原创角色）,suzunari shizuku
铃兰（明日方舟）,suzuran (arknights)
铃兰（春颂）（明日方舟）,suzuran (spring praise) (arknights)
铃兰（雪晴）（明日方舟）,suzuran (yukibare) (arknights)
*铃科百合子（魔法禁书目录）,suzushina yuriko
凉月（舰队Collection）,suzutsuki (kancolle)
铃谷（舰队Collection）,suzuya (kancolle)
铃谷改二（舰队Collection）,suzuya kai ni (kancolle)
SVD（少女前线）,svd (girls' frontline)
青绵鸟（宝可梦）,swablu
舞天鹅（宝可梦）,swanna
扫荡图书（赛马娘）,sweep tosho (umamusume)
史威雷（明日方舟）,swire (arknights)
剑之圣女（哥布林杀手）,sword maiden
希露菲叶特（无职转生）,sylphiette (mushoku tensei)
**赛勒斯（恋与深空）,sylus (love and deepspace)
仙子伊布（宝可梦）,sylveon
西尔维（与奴隶的生活）,sylvie (dorei to no seikatsu)
胜博克丽丝S（赛马娘）,symboli kris s (umamusume)
胜博鲁道夫（赛马娘）,symboli rudolf (umamusume)
辛梅塔（守望先锋）,symmetra (overwatch)
辛德拉（英雄联盟）,syndra
休恩（胜利女神：妮姬）,syuen (nikke)
T-ELOS（异度传说）,t-elos
T提督（舰队Collection）,t-head admiral
T教官（舰队Collection）,t-head trainer
T教官（赛马娘）,t-head trainer (umamusume)
T.M.歌剧王（赛马娘）,t.m. opera o (umamusume)
Ta级战舰（舰队Collection）,ta-class battleship
橘爱丽丝（偶像大师 灰姑娘女孩）,tachibana arisu
橘响（战姬绝唱）,tachibana hibiki (symphogear)
橘雏乃（橘ひなの）（VTuber）,tachibana hinano
立华奏（Angel Beats!）,tachibana kanade
橘美也（圣诞之吻SS）,tachibana miya
橘桃花（原创角色）（Bubukka）,tachibana momoka (bubukka)
**立花泷（你的名字）,tachibana taki
立川绚香（22/7）,tachikawa ayaka
*大刀川美美（数码宝贝大冒险）,tachikawa mimi
多田李衣菜（偶像大师 灰姑娘女孩）,tada riina
只野仁人（古见同学有交流障碍症）,tadano hitohito
大鲸（舰队Collection）,taigei (kancolle)
大凤（碧蓝航线）,taihou (azur lane)
大凤（迷醉的伴侣）（碧蓝航线）,taihou (enraptured companion) (azur lane)
大凤（禁果）（碧蓝航线）,taihou (forbidden fruit) (azur lane)
大凤（舰队Collection）,taihou (kancolle)
大凤（海边白日梦）（碧蓝航线）,taihou (seaside daydreams) (azur lane)
大凤（放学后的甜蜜时光）（碧蓝航线）,taihou (sweet time after school) (azur lane)
大凤（海风的诱惑）（碧蓝航线）,taihou (temptation on the sea breeze) (azur lane)
大凤改（舰队Collection）,taihou kai (kancolle)
大树快车（赛马娘）,taiki shuttle (umamusume)
无尾（绝区零）,tailless (zenless zone zero)
塔尔斯（索尼克）,tails (sonic)
田井中律（轻音少女）,tainaka ritsu
***taisa (cookie),taisa (cookie)
台湾（黑塔利亚）,taiwan (hetalia)
鹰富士茄子（偶像大师 灰姑娘女孩）,takafuji kako
高垣枫（偶像大师 灰姑娘女孩）,takagaki kaede
高木（擅长捉弄的高木同学）,takagi-san
高鸭稳乃（咲-saki）,takakamo shizuno
高仓阳毬（回转企鹅罐）,takakura himari
**高仓晶马（回转企鹅罐）,takakura shouma
高町奈叶（魔法少女奈叶）,takamachi nanoha
高町奈叶（侵略者模式）,takamachi nanoha (aggressor mode)
高町奈叶（超越模式）,takamachi nanoha (exceed mode)
高町奈叶（剧场版）,takamachi nanoha (movie 1st mode)
高町奈叶（神圣模式）,takamachi nanoha (sacred mode)
高巻杏（女神转生）,takamaki anne
高松灯（BanG Dream!）,takamatsu tomori
高海千歌（Love Live! Sunshine!!）,takami chika
鹰宫莉音（VTuber）,takamiya rion
高森蓝子（偶像大师 灰姑娘女孩）,takamori aiko
高波（舰队Collection）,takanami (kancolle)
小鸟游琪亚拉（Hololive）,takanashi kiara
小鸟游琪亚拉（初版服装）（Hololive）,takanashi kiara (1st costume)
小鸟游琪亚拉（便装）（Hololive）,takanashi kiara (casual)
小鸟游琪亚拉（狂热之夜）（Hololive）,takanashi kiara (fever night)
小鸟游六花（中二病也要谈恋爱！）,takanashi rikka
***小鸟游宗太（Working!!）,takanashi souta
高根（蔚蓝档案）,takane (blue archive)
鹰峰蕗（Hololive）,takane lui
鹰峰蕗（初版服装）（Hololive）,takane lui (1st costume)
*高根真奈香（Love+）,takane manaka
***鹰野三四（寒蝉鸣泣之时）,takano miyo
高雄（苍蓝钢铁的琶音）,takao (aoki hagane no arpeggio)
高雄（碧蓝航线）,takao (azur lane)
高雄（沙滩狂想曲）（碧蓝航线）,takao (beach rhapsody) (azur lane)
高雄（全速魅惑者）（碧蓝航线）,takao (full throttle charmer) (azur lane)
高雄（舰队Collection）,takao (kancolle)
高良美幸（幸运星）,takara miyuki
宝多六花（SSSS.GRIDMAN）,takarada rikka
高咲侑（偶像大师 Shiny Colors）,takasaki yu
***高咲侑（偶像大师 Shiny Colors）,takasaki yuu
**高杉晋助（银魂）,takasugi shinsuke
高槻弥生（偶像大师）,takatsuki yayoi
高山春香（桜Trick）,takayama haruka
高山沙代子（偶像大师）,takayama sayoko
岳羽由加莉（女神异闻录3）,takeba yukari
武部沙织（少女与战车）,takebe saori
***武田晴海,takeda harumi
*武田晴海（关于前辈很烦人的事）,takeda harumi (shiromanta)
竹井久（咲）,takei hisa
武见妙（女神异闻录5）,takemi tae
武之内空（数码宝贝大冒险）,takenouchi sora
滝本雏美（New Game!）,takimoto hifumi
*滝野智（校园迷糊大王）,takino tomo
滝沢飞鸟（Tropical-Rouge！光之美少女）,takizawa asuka
章鱼娘（胸前那个）（一之濑祈乃）（Vtuber）,takodachi (ninomae ina'nis)
*章鱼姊妹（Splatoon）,takozonesu
拓跋（火焰纹章）,takumi (fire emblem)
塔露拉（明日方舟）,talulah (arknights)
玉（舰队Collection）,tama (kancolle)
玉田环（少女与战车）,tamada tamaki
环彩羽（魔法少女小圆外传）,tamaki iroha
环古达（炎炎消防队）,tamaki kotatsu
环忧（魔法少女小圆）,tamaki ui
玉藻前（Fate）,tamamo (fate)
玉藻猫（Fate）,tamamo cat (fate)
玉藻猫（第一阶段）（Fate）,tamamo cat (first ascension) (fate)
玉藻猫（第二阶段）（Fate）,tamamo cat (second ascension) (fate)
玉藻猫（第三阶段）（Fate）,tamamo cat (third ascension) (fate)
玉藻十字（赛马娘）,tamamo cross (umamusume)
玉藻前（Fate/Extra）,tamamo no mae (fate/extra)
玉藻前（春季便装）（Fate）,tamamo no mae (spring casual) (fate)
玉藻前（泳装枪兵）（Fate系列）,tamamo no mae (swimsuit lancer) (fate)
玉藻前（泳装枪兵）（第二阶段）（Fate系列）,tamamo no mae (swimsuit lancer) (second ascension) (fate)
玉藻前（泳装枪兵）（第三阶段）（Fate系列）,tamamo no mae (swimsuit lancer) (third ascension) (fate)
魂群群藏（东京放课后召唤师）,tamamura gunzo
玉造美须丸（东方Project）,tamatsukuri misumaru
*田村由依（丧女）,tamura yuri
塔娜（火焰纹章）,tana (fire emblem)
田中琴叶（偶像大师 百万现场）,tanaka kotoha
田中真子（丧女）,tanaka mako
田中摩美美（偶像大师）,tanaka mamimi
丹羽灯莉（突击莉莉）,tanba akari
种村小依（天使降临到了我的身边）,tanemura koyori
种岛白杨（WORKING!!）,taneshima popura
唐可可（Love Live! Superstar!!）,tang keke
***唐三藏,tang sanzang
谷风（舰队Collection）,tanikaze (kancolle)
谷乃吉姆雷特（赛马娘）,tanino gimlet (umamusume)
晒黑的琪露诺（东方Project）,tanned cirno
TAR-21（少女前线）,tar-21 (girls' frontline)
褪色者（艾尔登法环）,tarnished (elden ring)
达达利亚（原神）,tartaglia (genshin impact)
塔什干（碧蓝航线）,tashkent (azur lane)
塔什干（舰队Collection）,tashkent (kancolle)
多多良小伞（东方Project）,tatara kogasa
馆林樱子（原创角色）潦(にわたずみ),tatebayashi sakurako
立神青（光之美少女）,tategami aoi
立山绫乃（目隐都市的演员）,tateyama ayano
龙卷（一拳超人）,tatsumaki
龙见神治（女神转生）,tatsumi kanji
龙田（舰队Collection）,tatsuta (kancolle)
龙田改二（舰队Collection）,tatsuta kai ni (kancolle)
蒂安娜·兰斯特（魔法少女奈叶）,teana lanster
天天座理世（请问您今天要来点兔子吗？）,tedeza rize
丁礼田舞（东方Project）,teireida mai
泰蕾莎·泰斯塔罗莎（全金属狂潮）T,teletha testarossa
